t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.703125e-05,-0.1596047282218933,0.0001173033015220426,0.0027150275048375945,0.00120594579673533,0.0,2.0634397044877844e-23,0.00011730330152204263,404.99416469919606,290583.8617635376,936357.5404226045,428265.53224958293,-7928724.573799293
2,0.0001940625,-0.01712179370224476,0.00012220772623550147,0.002812044532547236,0.0012042845288613262,0.0,3.0138533274158135e-24,0.0001222077262355015,518.8316555620816,301114.93841213523,1125514.8059614892,-116575.69747526881,-13925470.543318385
3,0.00029109375,-0.10133149474859238,0.00011680797615554184,0.0029085780467426195,0.0011944690251222332,0.0,1.5577238721643932e-23,0.00011680797615554185,362.03635449296917,287351.5685537603,1134265.0477998452,66384.62469444369,-12306404.888108855
4,0.000388125,-0.10802257806062698,0.00011436202476033941,0.003005043724151381,0.001184007832139058,0.0,1.5425010021480173e-23,0.00011436202476033942,366.43185595590717,280381.8530107216,1138631.445045268,5191.170767170382,-11073175.563764852
5,0.00048515625,-0.11073437333106995,0.0001123053370974958,0.0031014806782852056,0.0011732850827736593,0.0,1.4979842431838827e-23,0.00011230533709749581,357.1478268142132,274975.6351520495,1138654.7613928195,2051.1287243868733,-10499416.759863006
6,0.0005821875,-0.10304530709981918,0.00011090824409620836,0.0031979972287904776,0.0011633041532014316,0.0,1.4747132285067342e-23,0.00011090824409620838,339.9339877950815,270618.7405243012,1138623.3142530252,-5865.484359036285,-10175803.068671366
7,0.00067921875,-0.09578913450241089,0.00010946508700726554,0.0032945836611223433,0.0011540238209894668,0.0,7.35675790719022e-25,0.00010946508700726555,439.3795259617141,266468.18091553776,1138628.458002346,-5402.234447227136,-9980334.80507548
8,0.00077625,-0.08684410154819489,0.00010807796206790954,0.00339124924113563,0.001145607817350129,0.0,4.808933684648384e-24,0.00010807796206790955,425.5010088558531,262610.7675787832,1138612.4793707544,-6660.541021706264,-9847866.283171572
9,0.00087328125,-0.07958793640136719,0.0001067198027158156,0.003487973343721673,0.0011378934505266551,0.0,4.8833042979155236e-24,0.00010671980271581562,434.1686062457045,258544.86310719547,1138627.5476940342,-5483.016147645119,-9736550.126016388
