t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.76171875e-05,-0.03718973323702812,0.00011835210170829669,0.0029865143137389858,0.0002491221335913324,0.0,-5.178562354686393e-25,0.00011835210170829671,62.68906056712922,290926.3445434587,1129188.3660972156,97031.51800707474,-11875419.934638692
2,0.000195234375,-0.01821770705282688,0.00011663416080409661,0.0030841153028541646,0.00024734387063303455,0.0,-4.729598492000608e-25,0.00011663416080409662,107.79930670299586,286860.97478823387,1138435.7600633018,-14917.828511586564,-11960281.199444087
3,0.0002928515625,-0.026785677298903465,0.00011465331772342324,0.003181697473623681,0.00024472944080625804,0.0,7.216870263554696e-24,0.00011465331772342324,135.34994709044213,280925.7143287205,1138613.6183629832,6708.207990729326,-11693188.935253492
4,0.00039046875,-0.02708069048821926,0.00011288366658845916,0.003279278868855503,0.00024208622306625058,0.0,7.05770319179991e-24,0.00011288366658845918,47.84116549264763,276218.71907004586,1138659.0353879787,318.0835157218194,-11480191.59385087
5,0.00048808593749999997,-0.025284627452492714,0.00011114666267530993,0.0033768648540793904,0.00023961827183226634,0.0,6.926051366936128e-24,0.00011114666267530994,46.434726458124715,271302.8747153218,1138656.9508364182,-1441.0260552322457,-11299983.934259944
6,0.000585703125,-0.022275565192103386,0.00010956697224173695,0.0034744578237173337,0.00023744397363340298,0.0,6.7914900475897e-24,0.00010956697224173698,120.41828773128145,266506.2386167139,1138653.1928267942,-2371.9114253254593,-11140091.176151926
7,0.0006833203124999999,-0.020016096532344818,0.00010800461313920096,0.0035720554569940934,0.000235490189053336,0.0,9.862999319165999e-25,0.00010800461313920097,8.975287912289787,261696.70112253694,1138655.9627630762,-1770.863849629377,-10993567.589726847
8,0.0007809375,-0.018032221123576164,0.00010652883793227375,0.0036696567742730453,0.00023373002973568676,0.0,1.9994616711253496e-24,0.00010652883793227376,-36.25967460278389,257515.73951717262,1138656.5720297461,-1571.2161831722135,-10847517.839345679
9,0.0008785546875,-0.01594114489853382,0.00010509006824577227,0.003767261558790945,0.0002321739659116318,0.0,2.7056948668194046e-24,0.00010509006824577229,218.84655720416845,253331.4864933286,1138656.5631446112,-1598.672527960531,-10714989.251477124
10,0.000976171875,-0.014609923586249352,0.00010370606469223276,0.003864868328288403,0.00023074783699732023,0.0,2.304916595540689e-24,0.00010370606469223277,-28.487578961230156,249273.11019215363,1138657.8167686227,-1067.088781125359,-10587441.88703323
11,0.0010737890625,-0.013466513715684414,0.00010238627146463841,0.003962476664630522,0.0002294333135346181,0.0,2.288602848687285e-24,0.00010238627146463843,123.25924982679135,245735.0244195878,1138657.982202109,-970.8348154115141,-10464251.495409805
12,0.0011714062500000001,-0.012323103845119476,0.00010107705747941509,0.00406008644020553,0.00022823039724211502,0.0,-1.2386843787073205e-24,0.00010107705747941509,-49.96263680302968,241515.18795454092,1138658.178679155,-908.1360382151646,-10358653.343157513
13,0.0012690234375000002,-0.010991882532835007,9.987211524276063e-05,0.004157697730638292,0.00022715742219063976,0.0,-5.781688035445746e-25,9.987211524276064e-05,-29.951097283366153,237644.4569882374,1138657.9206012476,-1028.0724731677687,-10242134.229520429
14,0.0013666406250000002,-0.010263965465128422,9.866568143479526e-05,0.004255309776247522,0.00022615550034146167,0.0,-4.413367939164823e-25,9.866568143479527e-05,-27.776912468338196,234086.603305736,1138658.674795154,-581.0915131070805,-10139998.582914116
15,0.0014642578125000003,-0.009536048397421837,9.751194011187181e-05,0.004352922525312184,0.0002252246322254623,0.0,4.450782441007424e-25,9.751194011187184e-05,-47.831609056917046,230497.36028901054,1138658.8065681704,-553.0755520265408,-10033952.569493348
16,0.0015618750000000003,-0.00862031988799572,9.638917981646955e-05,0.004450536085872193,0.00022438315126446597,0.0,1.951905356528952e-24,9.638917981646956e-05,-71.20453322893104,227425.5070506314,1138658.3961901148,-755.9296434250148,-9933691.033870697
17,0.0016594921875000004,-0.00832530576735735,9.529432281851768e-05,0.004548149890433147,0.00022357046771840137,0.0,-9.77151668049136e-24,9.52943228185177e-05,-74.63009634631157,223805.8650582113,1138659.0792279064,-256.13291690678886,-9837759.85592919
18,0.0017571093750000004,-0.007861899212002754,9.422667062608525e-05,0.004645764061115901,0.00022280301913490453,0.0,2.0897643557186497e-24,9.422667062608528e-05,-131.7560920353808,220786.44224497443,1138658.8075092211,-443.5511787252772,-9740538.63403946
