t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.74609375e-05,-0.1771353930234909,0.00013029808178544044,0.0021182613121376224,0.0020051517519880263,0.0,2.92222033771622e-23,0.00013029808178544047,643.3171962822998,326246.44509451854,636262.291794235,627275.9038799013,-376218.21057719603
2,0.000194921875,-0.13032379746437073,0.0001466958347009495,0.0022148957678793935,0.00199248619626115,0.0,2.913980433174016e-23,0.00014669583470094954,757.3522019956406,366850.40438804,1122052.9194825294,-189145.1315365416,-18540761.0661524
3,0.0002923828125,-0.10806500166654587,0.00013327671331353486,0.002311788182385618,0.0019819745670090847,0.0,-1.095445575829123e-23,0.00013327671331353486,758.9982615580439,332009.0136845584,1137405.102836863,-48800.852907629946,-14110359.899895897
4,0.00038984375,-0.12384574860334396,0.0001246016618097201,0.0024085026580113493,0.001969935275384627,0.0,1.6755321912701326e-23,0.00012460166180972013,707.5299744935642,309961.92087358504,1138221.0892450912,27454.425454666245,-11605412.442834985
5,0.0004873046875,-0.1399398297071457,0.0001207404857268557,0.002505010855471178,0.0019563410795116216,0.0,1.6294307784288902e-23,0.0001207404857268557,798.4095299232083,299694.6318925695,1138268.5786383024,25232.01740897659,-10402033.049814206
6,0.000584765625,-0.1431756615638733,0.00011877287761308253,0.002601474559226397,0.0019424346710534923,0.0,1.6268426387607186e-23,0.00011877287761308254,789.1639916142658,293859.59531722084,1138644.2699910374,4854.161481556485,-9744429.578610059
7,0.0006822265625,-0.14184443652629852,0.00011700807954184711,0.002697956690060719,0.00192865668977728,0.0,1.6261332636682435e-23,0.00011700807954184714,775.2984002485509,288926.0430931534,1138656.7232744324,-1909.976643061383,-9318700.943378229
8,0.0007796875,-0.13810744881629944,0.00011523908324306831,0.0027944896352324836,0.0019152393564042137,0.0,3.517277240838253e-23,0.00011523908324306833,666.1336263935074,283856.73208888917,1138640.9109576545,-5270.901751201809,-9031501.630966255
9,0.0008771484375,-0.13253243267536163,0.00011355930473655462,0.0028910958817099527,0.0019023604014810304,0.0,4.036398561758308e-24,0.00011355930473655465,710.979185774594,279581.8529051222,1138619.4972050155,-7711.485439764818,-8810202.823976459
10,0.000974609375,-0.1263047605752945,0.00011193177488166839,0.00298778046019979,0.0018900833244420365,0.0,4.867969297357094e-24,0.00011193177488166842,723.2354805368618,274918.85874485114,1138611.231491851,-8449.320843152958,-8653820.822241038
11,0.0010720703124999999,-0.11978206783533096,0.00011039351375075057,0.0030845430609824907,0.0018784371478957804,0.0,4.970498239096105e-24,0.0001103935137507506,731.6152988147965,270475.4295387916,1138606.50371219,-8821.525462313342,-8538647.42863093
12,0.00116953125,-0.1134348213672638,0.00010884735820582137,0.003181377633264871,0.0018674053778987524,0.0,3.0397994424145554e-25,0.00010884735820582138,782.7346570110994,265955.6227466264,1138610.9213959142,-8432.451493065284,-8451636.769394137
13,0.0012669921875,-0.10744521766901016,0.000107437270344235,0.003278276544100529,0.0018569538030297637,0.0,6.221598238986105e-25,0.00010743727034423503,796.4368709831851,261784.15661039785,1138616.2056120816,-7942.576856081245,-8372246.58074069
14,0.0013644531250000002,-0.10175062716007233,0.00010605683928588405,0.003375233400921377,0.0018470541942596887,0.0,5.149066674797442e-25,0.00010605683928588408,801.315853187037,257762.6073536849,1138620.865502882,-7473.615003227668,-8305348.021319523
15,0.0014619140625000003,-0.09685561060905457,0.00010468517575645819,0.0034722375546991104,0.001837629307616089,0.0,2.437906307609312e-24,0.00010468517575645822,803.3251332624695,253697.10332564055,1138630.6731479194,-6443.505072078407,-8264670.106494859
16,0.0015593750000000004,-0.09223618358373642,0.00010339946311432868,0.0035692842109089525,0.0018286526235474804,0.0,5.2921552222580664e-24,0.0001033994631143287,863.9518486896816,249989.2883651826,1138633.4051862378,-6098.636101391908,-8212410.696763613
17,0.0016568359375000005,-0.08780457079410553,0.00010212066263193265,0.0036663696952191163,0.001820106099421275,0.0,5.311626155839154e-24,0.00010212066263193266,865.0449235952904,246169.898383899,1138635.1754976972,-5902.579522556099,-8177529.997365435
18,0.0017542968750000006,-0.08354489505290985,0.00010092422598972917,0.0037634907040418448,0.001811973204264296,0.0,5.3827396426442776e-24,0.00010092422598972918,877.1072195103782,242541.6559358126,1138638.010446185,-5523.078417691154,-8120338.103779006
19,0.0018517578125000008,-0.07958023250102997,9.974997374229133e-05,0.003860643193665293,0.0018042254240438272,0.0,4.016064540079664e-24,9.974997374229133e-05,866.7218290353894,238876.66524560069,1138640.5429332126,-5164.392386124149,-8095254.687368199
20,0.0019492187500000009,-0.07603106647729874,9.861144644673914e-05,0.003957822569495443,0.0017968225022124598,0.0,5.151249736589324e-24,9.861144644673915e-05,833.7528567229633,235449.83832331718,1138643.8202109935,-4680.201603626971,-8062967.767904745
21,0.002046679687500001,-0.07255859673023224,9.747855074238032e-05,0.00405502706579992,0.0017897570767778739,0.0,5.069277561149611e-24,9.747855074238033e-05,818.0322968264509,231918.4927711034,1138644.9509748428,-4510.146264140731,-8037884.353491814
22,0.002144140625000001,-0.06932276487350464,9.642554505262524e-05,0.004152253915698568,0.0017830062251897648,0.0,5.185088847722346e-24,9.642554505262525e-05,834.1561409687965,228710.3367151976,1138647.0164374528,-4176.221684844772,-8000475.979128514
23,0.002241601562500001,-0.06620649993419647,9.537972073303536e-05,0.0042495013309154835,0.0017765583905138636,0.0,5.477758442673771e-24,9.537972073303537e-05,853.6146798172697,225556.52116407198,1138648.1228291655,-3969.1548448872563,-7970328.740525566
