Beta,R2_Score,Non_Zero_Coefficients,RRMSE
0.0001,0.9988274918410016,7.0,0.017085033872179797
0.0001142802059810032,0.9987776846567326,7.0,0.01744413901932538
0.00013059965479060535,0.9987148905190311,6.0,0.017886607261352834
0.0001492495545051829,0.9987097172398366,6.0,0.01792257286504425
0.00017056269831425286,0.9987062418349507,5.0,0.01794669405458627
0.00019491940296028525,0.9987090518065158,5.0,0.01792719384436339
0.00022275429519995563,0.9987060262035687,5.0,0.017948189584937376
0.0002545640673860415,0.9986938887828318,5.0,0.018032169750266547
0.00029091634056238803,0.9986588579417626,6.0,0.018272387577122805
0.00033245979322709415,0.9985982243034573,6.0,0.01868087310800533
0.00037993573650394054,0.998506825484139,6.0,0.019280273576189794
0.0004341913422721453,0.9983724456837829,6.0,0.02012916004877805
0.0004961947603002903,0.9981810983345921,5.0,0.021279553824237726
0.0005670523941381169,0.9979985934309964,4.0,0.022321612668948998
0.0006480286440412508,0.9978919006317523,4.0,0.022908858326854884
0.0007405684692262435,0.9977487085899457,4.0,0.02367411563409027
0.0008463231720621142,0.9975488710576006,4.0,0.02470250446356216
0.0009671798642975443,0.9972970724019076,4.0,0.025940307127769922
0.0011052951411260222,0.9969634309169899,4.0,0.027494731971303577
0.0012631335639768382,0.9965255140906293,4.0,0.029410552611892675
0.0014435116387279175,0.9959478639504111,4.0,0.031761420423037014
0.0016496480740980208,0.9951886412918827,4.0,0.03460921714715565
0.0018852212170408723,0.9946876289516451,3.0,0.036366550451393254
0.002154434690031882,0.9944376077324605,3.0,0.0372124885256532
0.0024620924014946257,0.9941257238008258,3.0,0.03824151495067778
0.0028136842678706895,0.9937347578705417,3.0,0.03949361036613042
0.0032154841769777057,0.9932428569551097,3.0,0.04101469287339143
0.003674661940736688,0.9926218237814881,3.0,0.04285805118804906
0.0041994112349794215,0.9918351107713448,3.0,0.0450851019404318
0.004799095809323873,0.9908358077590473,3.0,0.04776447437508249
0.005484416576121015,0.9895626754169936,3.0,0.05097444455432731
0.006267602560047386,0.9879364872894668,3.0,0.054801797108596804
0.00716262911569279,0.9858544203469026,3.0,0.05934283384554279
0.008185467307069028,0.9835129212823589,2.0,0.06406631771821657
0.009354368899026163,0.9818060184634635,2.0,0.06730104105851117
0.01069019204603001,0.9795793636279754,2.0,0.07130049474826397
0.012216773489967919,0.9766684685577146,2.0,0.07621308304113533
0.013961353908567946,0.9728763891263469,2.0,0.08217347631445171
0.01595506400444829,0.9679237971255805,2.0,0.08936128047212394
0.018233480008684404,0.9614566585917744,2.0,0.09795634866418088
0.0208372585114296,0.9550664280694393,1.0,0.10576534228064086
0.023812861947655868,0.9519173672191115,1.0,0.10940874268979203
0.027213387683753087,0.9475752651371604,1.0,0.11424206081994741
0.031099515499401986,0.9416415734589492,1.0,0.12053403475822849
0.03554059037181064,0.9336053830205391,1.0,0.12856547015604644
0.0406158598837698,0.9227518999186011,1.0,0.13867616109571448
0.046415888336127774,0.9082008697466633,1.0,0.1511740300051708
0.053044172798439315,0.8887307308055743,1.0,0.16643533145506006
0.06061898993497572,0.862812083969171,1.0,0.18480590202780153
0.06927550656129393,0.82837756691357,1.0,0.2067021218272269
0.0791681915926301,0.7827388427807516,1.0,0.23256746102064327
0.09047357242349302,0.7223734334716159,1.0,0.26289868782359205
0.10339338492393994,0.6426672005271206,1.0,0.2982595431553407
0.11815817326181008,0.5375777927354639,1.0,0.3392948350509659
0.13503140378698736,0.3991961948320677,1.0,0.3867445877316126
0.1543141663868093,0.21715170153428476,1.0,0.4414654428238237
0.17635054720471388,-0.022085969487619872,1.0,0.5044308284163431
0.20153376859417332,-0.33625146558642127,1.0,0.5767691257337072
0.23031320587069962,-0.48256614955527,0.0,0.6075261097080606
0.2632024060704877,-0.6367228681504835,0.0,0.638330333476559
0.3007882518043099,-0.8390138983102768,0.0,0.6766286971558935
0.3437414337286243,-1.1043056755758718,0.0,0.7237895702739304
0.39282841850712547,-1.4520333490649433,0.0,0.7813058816633401
0.4489251258218608,-1.9076015960615589,0.0,0.850795837983679
0.5130325584897003,-2.5042144814528466,0.0,0.9340137021161989
0.5862946645916403,-3.016836781703475,-1.0,1.0
0.670018750350959,-3.016836781703475,-1.0,1.0
0.7656988080124196,-3.016836781703475,-1.0,1.0
0.8750421749906804,-3.016836781703475,-1.0,1.0
1.0,-3.016836781703475,-1.0,1.0
