t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.71484375e-05,-0.21928739547729492,8.674598211655393e-05,0.0029507644797162236,0.0004824466135472973,0.0,-1.1287970235088469e-25,8.674598211655392e-05,-881.2742639287785,367910.3842107123,1070362.044511224,227567.47820559758,-13116970.823717803
2,0.000194296875,0.04268953204154968,8.76651392900385e-05,0.0030478244091897977,0.0004865925753508175,0.0,-9.963631326757386e-26,8.766513929003848e-05,655.4061149366735,372710.31422318384,1108906.1463560539,-150247.8232148066,-13222574.052175349
3,0.0002914453125,-0.15803126990795135,8.564029121771455e-05,0.0031437622823926744,0.00047130390654022023,0.0,5.761088029509228e-19,8.564029121771472e-05,-718.1460247404425,358405.34708643594,1121312.5210683367,114733.68095773246,-13655346.696630964
4,0.00038859375,-0.027529649436473846,8.514452929375693e-05,0.0032408739087111064,0.00046862978192071934,0.0,4.6946913532435195e-19,8.514452929375731e-05,182.54495910433047,357121.5563308271,1131357.2598265014,-74445.93615843504,-12753345.36006586
5,0.0004857421875,-0.10285720229148865,8.4067796706222e-05,0.003337508903117324,0.00045865497541624546,0.0,5.124589842850537e-19,8.406779670622235e-05,-341.7607775902932,351225.95097138034,1136223.1274461555,43000.44909227413,-13112937.93831707
6,0.000582890625,-0.04954265430569649,8.314357546623796e-05,0.0034345381408154643,0.0004538439526134379,0.0,-5.809960921598894e-26,8.314357546623795e-05,-31.074286144122993,344382.9024334669,1137436.3458103742,-30465.35487453143,-12689724.074548805
7,0.0006800390625,-0.07045559585094452,8.220231393352151e-05,0.0035314455560588463,0.000447004962955736,0.0,-8.043173087265657e-26,8.22023139335215e-05,408.9216478844096,342971.71360208147,1138470.769848028,11954.475350799337,-12668844.734655535
8,0.0007771875,-0.05016336590051651,8.130178321152925e-05,0.0036284717888076905,0.0004421337139107224,0.0,-1.0286324101075404e-25,8.130178321152925e-05,135.77849987199875,339995.0210672012,1138481.517144819,-11610.362186579549,-12451391.916469494
9,0.0008743359375,-0.05371253564953804,8.043060370255262e-05,0.003725480121603114,0.00043691813369911125,0.0,-2.9219654189700256e-26,8.043060370255262e-05,545.7381011354983,339481.48263897677,1138653.5886097716,2033.3814267299422,-12332320.717923166
