t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.69921875e-05,0.0,9.021754522109404e-05,0.0029169921875,0.0,0.0,-7.507843508445138e-26,9.021754522109403e-05,-926.4275817395569,385513.2541062086,1138658.941326317,1.5595509969620388e-08,-14507568.589744646
2,0.000193984375,0.0,8.883138070814312e-05,0.003013984375,0.0,0.0,6.116997148383389e-19,8.883138070814321e-05,-1873.2315197920727,372824.8161813949,1138659.072514291,-1.7523938015117115e-08,-14251697.370131293
3,0.0002909765625,0.0,8.755095768719912e-05,0.0031109765625000002,0.0,0.0,-4.555855132717551e-26,8.755095768719912e-05,131.8879437409289,367497.7796727123,1138659.0626141296,-1.2477004509731049e-09,-14009333.93957496
4,0.00038796875,0.0,8.632300159661099e-05,0.0032079687500000003,0.0,0.0,-9.339729482457468e-26,8.632300159661099e-05,-360.22763521025377,363846.35514214437,1138659.2038035493,1.2013931892641437e-08,-13793535.333683632
5,0.00048496093750000004,0.0,8.52007869980298e-05,0.0033049609375000004,0.0,0.0,-9.575017144950168e-26,8.520078699802978e-05,126.9564745524608,357335.27810933744,1138658.955357148,-9.747120583355673e-09,-13569908.635525033
6,0.000581953125,0.0,8.40946304379031e-05,0.0034019531250000005,0.0,0.0,-5.10709725677753e-26,8.40946304379031e-05,-212.27023604927967,361929.69839152606,1138659.0864470324,-6.478943126227551e-09,-13351977.609269947
7,0.0006789453125,0.0,8.307390089612454e-05,0.0034989453125000005,0.0,0.0,-1.2487209830546202e-25,8.307390089612453e-05,-84.44155977875755,348169.74952741264,1138658.9886242817,2.213194975481278e-08,-13152593.178610222
8,0.0007759374999999999,0.0,8.204695768654346e-05,0.0035959375000000006,0.0,0.0,-8.01505981542671e-26,8.204695768654346e-05,376.67789908148006,341828.2450620711,1138659.0003913825,1.2619635388108022e-08,-12963529.604077011
9,0.0008729296874999999,0.0,8.114436059258878e-05,0.0036929296875000007,0.0,0.0,-5.0317555263923525e-26,8.114436059258877e-05,287.8901058521173,338057.3499164885,1138659.0378969593,1.262874238034588e-08,-12777402.085311944
10,0.0009699218749999999,0.0,8.025846182135865e-05,0.0037899218750000008,0.0,0.0,-6.184131752889936e-26,8.025846182135864e-05,130.7075439559096,331606.240122963,1138659.0699186712,1.789593918398739e-08,-12599546.507786633
11,0.0010669140625,0.0,7.939957868074998e-05,0.003886914062500001,0.0,0.0,-3.870275442351769e-26,7.939957868074998e-05,248.04860897917,328820.12056456174,1138659.0082270608,-2.081679797089768e-08,-12439505.016015556
12,0.00116390625,0.0,7.854570139897987e-05,0.0039839062500000005,0.0,0.0,-8.866705250936148e-26,7.854570139897987e-05,137.64487709534342,325182.2632112774,1138659.0482920324,3.72926578373731e-08,-12267284.789728582
13,0.0012608984375,0.0,7.780097803333774e-05,0.0040808984375,0.0,0.0,-1.428342909659536e-25,7.780097803333773e-05,507.07147989633336,320630.08621633745,1138659.039154975,9.82845167933836e-09,-12110574.848643484
14,0.0013578906250000002,0.0,7.70429614931345e-05,0.004177890625,0.0,0.0,-2.6126636978094706e-26,7.70429614931345e-05,1728.0432954524474,312630.84692715656,1138659.1110778619,3.328854962286e-08,-11948116.506076317
15,0.0014548828125000002,0.0,7.631951302755624e-05,0.004274882812499999,0.0,0.0,-5.105478791570826e-26,7.631951302755624e-05,-414.43272577646303,316882.5569525874,1138659.1042157756,1.666188995753558e-09,-11804363.488870014
16,0.0015518750000000003,0.0,7.567728607682511e-05,0.004371874999999999,0.0,0.0,-2.3043531728102035e-26,7.567728607682511e-05,-264.31647859726,308584.41993364133,1138659.0387488308,1.1991297495669286e-08,-11660547.60912585
17,0.0016488671875000004,0.0,7.500046922359616e-05,0.004468867187499999,0.0,0.0,-1.1098200296076616e-25,7.500046922359616e-05,184.4908173671605,304899.85009119514,1138659.0816365157,-5.032815593852992e-08,-11529764.245210337
18,0.0017458593750000004,0.0,7.434354483848438e-05,0.004565859374999998,0.0,0.0,-6.905715415928448e-26,7.434354483848438e-05,655.3009162042854,300456.0860015765,1138659.0737107182,1.711854225840983e-08,-11392590.838491289
19,0.0018428515625000005,0.0,7.374413689831272e-05,0.004662851562499998,0.0,0.0,-7.485671904221515e-26,7.37441368983127e-05,459.8804571289793,297403.8229314305,1138658.8976875946,-1.933862310339611e-08,-11267147.232539708
20,0.0019398437500000006,0.0,7.31807085685432e-05,0.004759843749999998,0.0,0.0,-8.52036636977857e-26,7.31807085685432e-05,-457.1080374076621,295645.9006318692,1138659.073125527,1.3252370953777562e-08,-11133097.866771283
21,0.0020368359375000007,0.0,7.2617141995579e-05,0.004856835937499997,0.0,0.0,-8.178932132267039e-26,7.2617141995579e-05,-116.17485354147132,290149.2383404042,1138658.9872145045,-1.3575367341819734e-08,-11020557.553503824
22,0.0021338281250000007,0.0,7.20982498023659e-05,0.004953828124999997,0.0,0.0,-7.528688678178017e-26,7.20982498023659e-05,-464.8097296021981,289352.04316608806,1138658.9708461824,3.7449123197572494e-09,-10896542.884329887
23,0.002230820312500001,0.0,7.158271182561293e-05,0.0050508203124999965,0.0,0.0,-3.5485266929680796e-26,7.158271182561292e-05,288.30706651316405,286784.7089225473,1138659.0403801838,1.261114030986213e-09,-10787706.85406637
