t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.74609375e-05,-0.31540828943252563,9.113617852563038e-05,0.002114978564629814,0.0019920925586255026,0.0,-1.4890071977766344e-25,9.113617852563037e-05,2157.835921337348,395554.2179863661,458685.1148668917,715644.8018873974,-160448.96134838567
2,0.000194921875,0.1232718750834465,0.00010730746726039797,0.0022116999333602993,0.002004076346394,0.0,-9.853933591941007e-26,0.00010730746726039794,1207.1546662836076,463287.69623085496,1053271.4152998028,-254419.2327406179,-20361661.97167579
