x,y
-0.0015383596787669144,-0.0014885641180637026
-0.0016857099957137758,-0.0014796923098517544
-0.001832603333012554,-0.0014650918871689286
-0.0019787045549815277,-0.0014439907539182532
-0.0021250861096283936,-0.0014249312328210228
-0.0022719228801659002,-0.0014097724827602243
-0.002418932869133081,-0.0013963975798013779
-0.0025662210390231055,-0.001386547711998361
-0.0027137060685706715,-0.0013803034390508153
-0.0028610099807644196,-0.0013706918659378358
-0.003008449858268972,-0.001363459479973792
-0.0031559662288935353,-0.001358005556336113
-0.003303538279161658,-0.0013543566023829906
-0.0034507674265806063,-0.0013436606669129311
-0.0035979965739995545,-0.0013329647314428716
-0.0037455023512052176,-0.001327231444755265
-0.0038930610072111845,-0.0013230759757079593
-0.004040577623093973,-0.0013176286897984574
-0.004188102961200886,-0.0013124229716222255
-0.004335676213496515,-0.001308822958819386
-0.004483251518536223,-0.0013053081006818644
-0.004630842017841826,-0.0013025028555922644
-0.004778441339390169,-0.001300208261127407
-0.004926024680837257,-0.0012970487971536169
-0.00507362220451228,-0.0012946413316210872
-0.005221238716296866,-0.0012942050589524498
-0.005368852432346034,-0.0012952128880280925
-0.005516468352487577,-0.0012946087307183103
-0.0056640840299508185,-0.0012939479339583117
-0.005811700222901681,-0.0012934145823080055
-0.005959314880001492,-0.001292555574394971
-0.006106931755144355,-0.0012928437728439682
-0.0062545482331569134,-0.0012923962189838303
-0.006402158817144301,-0.0012937891942858982
-0.006549763169587353,-0.0012957334229649242
-0.006697363742288249,-0.0012979460737862507
-0.006844980561070632,-0.0012976303241087354
-0.006992593930216944,-0.0012986877429305478
-0.007140167816079925,-0.0013022616898510026
-0.0072877831258214764,-0.001303000076738339
-0.00743537995533506,-0.0013054497303522027
-0.007582977939768442,-0.0013078287798457492
-0.0077305601430365835,-0.0013110409697235069
-0.007878169630456905,-0.0013125456653072251
-0.008025785936110813,-0.0013130468542757864
-0.008173365841932248,-0.001316362918663929
-0.008320976117384544,-0.0013177882137868947
-0.008468562618447839,-0.0013207964672975097
-0.008616153549395421,-0.001323578909986199
-0.008763753185878763,-0.001325853156075566
-0.008911365107218834,-0.0013270963630502204
-0.009058977028558906,-0.0013283395700248745
-0.009206583104258287,-0.0013301482441024032
-0.009354144556357196,-0.001334203208929813
-0.00950169249073629,-0.0013387233799168423
-0.009649273201751652,-0.0013420034136803422
-0.009796864591889254,-0.0013447613916605817
-0.009944473821654632,-0.0013462911541787313
-0.010092069241322651,-0.0013488243297176553
-0.010239674913773124,-0.0013506656188677065
-0.010387281280408021,-0.0013524503917197708
-0.010534868807702541,-0.0013554078690870836
-0.01068245432218132,-0.0013584641415428182
-0.010830064926077148,-0.001359855005590128
-0.010977661498776946,-0.001362320084202021
-0.011125235225270447,-0.0013659006056878438
-0.011272832712050328,-0.0013683103321354617
-0.011420411397962491,-0.0013716802504918817
-0.011567975364211988,-0.0013756426676842404
-0.011715584072854513,-0.0013772219137624523
