t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.7265625e-05,-0.34644344449043274,8.324257942149416e-05,0.0028071983888220834,0.0009554112126708539,0.0,-1.7134015118076318e-25,8.324257942149413e-05,1676.5947535015648,352314.50999710575,910376.2286465594,415591.9450127565,-10433305.154657586
2,0.00019453125,0.07450247555971146,8.92373500391841e-05,0.002904194196454678,0.0009626510405929317,0.0,7.449179711860959e-19,8.92373500391843e-05,1406.675131762617,378606.3583362689,1060236.5066848123,-243835.00563451363,-13140654.299364164
