t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.74609375e-05,-0.17884667217731476,0.00015118408191483468,0.0013088207997853478,0.0025837655586796312,0.0,-2.083108537584435e-25,0.00015118408191483465,1802.0358586701386,671087.1613718837,22982.638674335918,915120.8444914406,15912241.321073513
2,0.000194921875,0.07725991308689117,0.00015443396114278585,0.001405991005188865,0.0025912878934380127,0.0,1.1401504139894586e-18,0.00015443396114278644,3560.1944525684116,674247.6541589494,1110289.041311668,-146715.85935557843,-30698469.528461564
3,0.0002923828125,-0.35500475764274597,0.00012409966439008713,0.001497374749859545,0.0025574109758045725,0.0,-1.2012372691887872e-25,0.0001240996643900871,1392.198925989877,545722.1697148335,1055842.25966139,250564.75550523534,-24627717.798257355
4,0.00038984375,-0.0166663508862257,0.00011509455362102017,0.0015948221519444705,0.002555786732818519,0.0,-1.533411189805826e-25,0.00011509455362102014,2777.5160415046776,501682.5734074942,1088656.6934734262,-194745.1677278985,-16820650.366402417
5,0.0004873046875,-0.3913250267505646,0.00010345003101974726,0.0016849154799990136,0.0025186138047870146,0.0,-1.8600274592771765e-25,0.00010345003101974723,1267.7677149419687,456705.71732349345,1076980.3247182975,216271.4749677773,-16522876.315982902
6,0.000584765625,-0.13030369579792023,0.00010182686673942953,0.0017815501903200373,0.002505950191576294,0.0,-1.0136588349361589e-25,0.00010182686673942952,398.3963267639249,441930.3260968305,1109153.6566122803,-149621.92732001038,-12734332.542112349
7,0.0006822265625,-0.335295170545578,9.828594920691103e-05,0.0018735838425726346,0.0024738808730393044,0.0,-5.913971965388827e-26,9.8285949206911e-05,468.5149769296738,423433.49418533844,1120532.815585667,117283.62305823328,-13719413.049288386
8,0.0007796875,-0.21375374495983124,9.621385106584057e-05,0.0019688267173488283,0.0024532065134906947,0.0,-1.2387512236166127e-25,9.621385106584055e-05,1410.9085292938132,420303.55350601184,1132316.8176644044,-69382.10716671697,-11555355.805128476
9,0.0008771484375,-0.28521907329559326,9.393741493113339e-05,0.002062350236437579,0.0024257841555389245,0.0,7.33280426816508e-19,9.39374149311338e-05,2082.1670449298654,403298.3329345669,1136468.3036275909,40779.39992274189,-11718831.853849124
10,0.000974609375,-0.24283908307552338,9.19966259971261e-05,0.002156951592410982,0.0024023487595240854,0.0,-9.270726556928593e-26,9.199662599712608e-05,1651.8596504265056,396620.3729401727,1137890.7314479698,-24151.027205439885,-10662287.161448501
11,0.0010720703124999999,-0.2576178014278412,9.021016740007326e-05,0.002251196285097177,0.002377517886827711,0.0,-1.5023518730030882e-25,9.021016740007325e-05,1729.7727140574248,387137.854494209,1138565.780738164,8418.44009571977,-10418044.163375346
12,0.00116953125,-0.24339857697486877,8.862036338541657e-05,0.0023457845143034727,0.0023540295656021273,0.0,-3.1690335209731744e-26,8.862036338541655e-05,2747.7690743682115,376109.1582279959,1138571.168885943,-8164.409544021737,-9904792.806322556
13,0.0012669921875,-0.2409512847661972,8.714114665053785e-05,0.0024404299429822973,0.002330772799520394,0.0,-2.909400879536664e-26,8.714114665053782e-05,1336.1474152338649,375565.4394709617,1138656.4147347305,-1422.5171101158464,-9617618.914677525
14,0.0013644531250000002,-0.23380231857299805,8.579594577895477e-05,0.0025352392135337748,0.002308193238942835,0.0,3.061788063055383e-26,8.579594577895476e-05,1611.201894451302,366575.0645031602,1138636.7653729732,-4122.580487436285,-9314757.412076581
15,0.0014619140625000003,-0.2286427915096283,8.455511124338955e-05,0.0026301637214795467,0.0022861031477336086,0.0,-1.2116433566051205e-25,8.455511124338952e-05,1642.6491480353914,361743.3152810774,1138647.4205221788,-2975.6960067275104,-9083700.23401248
16,0.0015593750000000004,-0.2227727621793747,8.340914064319804e-05,0.002725216262750165,0.0022645706435509465,0.0,-4.765089095184307e-27,8.340914064319802e-05,1498.5992968755559,356746.0763765698,1138644.224336136,-3351.1427746408262,-8852359.37136938
17,0.0016568359375000005,-0.2180461436510086,8.233536209445447e-05,0.0028203695177962916,0.002243487655325705,0.0,-5.781131645089669e-27,8.233536209445445e-05,2241.5880468217515,346713.4048940833,1138648.8962459299,-2783.049100223352,-8671615.539320044
18,0.0017542968750000006,-0.2124711275100708,8.130886999424547e-05,0.00291563883151716,0.002222935472922524,0.0,5.279021850801235e-19,8.130886999424567e-05,668.8327048295608,337876.1916288705,1138645.266226471,-3246.6936780231426,-8502929.177558862
19,0.0018517578125000008,-0.20701658725738525,8.038256055442616e-05,0.003011018830165105,0.002202903243982714,0.0,2.2388359211251274e-26,8.038256055442615e-05,1844.9511402262103,339663.2901630221,1138645.8790086068,-3148.4117443246223,-8362882.911728476
20,0.0019492187500000009,-0.2021215707063675,7.948769780341536e-05,0.0031064957438069543,0.0021833381398479097,0.0,-3.904302683460078e-26,7.948769780341533e-05,1085.6624064907626,331894.3735789231,1138648.0451671425,-2888.0409783495534,-8242086.634417042
21,0.002046679687500001,-0.19696204364299774,7.863083737902343e-05,0.0032020723328559566,0.002164265909665337,0.0,2.928523847026678e-26,7.863083737902342e-05,2077.486794849837,331852.4180875779,1138646.9128547106,-3031.6772839516952,-8129708.40035194
22,0.002144140625000001,-0.19253043830394745,7.781678868923336e-05,0.003297732503706616,0.0021456174230993575,0.0,3.4109935082704833e-26,7.781678868923335e-05,2538.5058363346125,323234.8985766536,1138650.1285889982,-2618.0096081794304,-8029345.1149919415
23,0.002241601562500001,-0.1876354217529297,7.708618068136275e-05,0.003393482812779786,0.002127437416202455,0.0,5.655268105574368e-26,7.708618068136272e-05,1796.3117486545405,319768.79370323615,1138647.9781043148,-2913.6143450334753,-7935026.664993904
24,0.0023390625000000013,-0.18274040520191193,7.638008537469432e-05,0.0034893209657889824,0.002109726324588306,0.0,7.475420269543536e-26,7.63800853746943e-05,2026.1664787545476,320332.7416071132,1138648.55037632,-2826.6800675994546,-7857193.148763206
25,0.0024365234375000014,-0.17830879986286163,7.570220623165369e-05,0.0035852366660221935,0.0020924401223694346,0.0,5.511464681167274e-26,7.570220623165368e-05,1014.1586203979019,313898.23154026037,1138650.2111825668,-2613.0833127159394,-7785149.233524174
26,0.0025339843750000015,-0.174464613199234,7.506876136176288e-05,0.003681218108770513,0.002075522764823707,0.0,5.67180501794016e-26,7.506876136176287e-05,1966.1128733733262,311837.35534030205,1138652.401951579,-2248.0367635408097,-7720583.122368781
27,0.0026314453125000016,-0.16930508613586426,7.445010123774409e-05,0.0037772855591509643,0.0020591008491078595,0.0,3.3828028757846517e-19,7.445010123774435e-05,1705.0739277100274,307914.59815112106,1138647.5455215499,-2944.7012722079457,-7644598.180827553
28,0.0027289062500000017,-0.16575591266155243,7.385460048681125e-05,0.0038734106885741663,0.002043019996153131,0.0,7.966978047612526e-26,7.385460048681122e-05,1219.0131339122477,306188.94627540855,1138653.0234313102,-2160.285814203523,-7594676.929922062
29,0.002826367187500002,-0.16132430732250214,7.32953121769242e-05,0.003969606137852705,0.0020273652883475214,0.0,5.609236934168572e-26,7.329531217692417e-05,1398.7526310012959,299928.3818413883,1138649.5909883657,-2671.48145905256,-7552147.834421146
30,0.002923828125000002,-0.1577751338481903,7.275785901583731e-05,0.004065856542419569,0.0020120520927602585,0.0,1.2855992151201344e-25,7.27578590158373e-05,1738.8969445528346,296186.00746146246,1138653.586314296,-2049.7072516492813,-7506569.729851246
31,0.003021289062500002,-0.15315571427345276,7.225915760500357e-05,0.004162176657866645,0.0019971836799787673,0.0,3.62463816996936e-19,7.225915760500373e-05,1032.4648959451608,293252.6439872526,1138649.6359011503,-2684.730736877476,-7450821.264123019
32,0.003118750000000002,-0.1500394493341446,7.17597285984084e-05,0.0042585426394650796,0.001982615497904498,0.0,1.4680879215770962e-25,7.175972859840839e-05,1839.222438725515,291507.3689170508,1138654.5138152083,-1844.988188756714,-7418516.009305844
33,0.0032162109375000023,-0.1460747867822647,7.12993714842014e-05,0.0043549656214724045,0.00196842948792304,0.0,7.988560404373545e-26,7.129937148420137e-05,1952.9628411227254,288799.04324174946,1138652.085475547,-2294.1217320943874,-7393946.320101774
