t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.6875e-05,-0.2847174108028412,9.785573638509959e-05,0.0019634868599950482,0.0022019784740019742,0.0,0.0,9.785573638509959e-05,842.7235050415079,424491.45424920035,361331.7088668318,764854.5257131892,2640620.1594844083
2,0.00019375,0.12482699751853943,0.00011466393334558234,0.0020596080970700435,0.0022140397097667117,0.0,0.0,0.00011466393334558234,124.5514485125284,493233.80138230365,1064602.2412310697,-236958.4597447162,-22712131.80953718
