t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.6875e-05,-0.2897695302963257,0.00012494037218857557,0.0019633482015472456,0.002201509102878594,0.0,2.3645420186279406e-23,0.00012494037218857557,608.2762382714191,310713.39955343975,509165.885038917,598336.3554680563,1836015.5927127204
2,0.00019375,-2.013045072555542,0.0001242752914549783,0.0019218883227075645,0.0021139542967763647,0.0,2.704601652718203e-23,0.00012427529145497831,616.2902725914585,308573.3312961649,854626.7862151917,-244563.03080066098,-14059346.559551036
3,0.000290625,-0.3986057639122009,0.00013320580183062702,0.0020111686171795317,0.002076353836087714,0.0,6.204019585479515e-24,0.00013320580183062705,914.306254507515,330079.684562769,-24707.562220020474,-258688.8233195945,10787180.01083997
4,0.0003875,-0.2726017236709595,0.0001420017215423286,0.002104466379328109,0.0020502714051606028,0.0,2.3205746529228454e-23,0.00014200172154232862,521.5357447041263,352385.7778992835,1105768.4063797079,-243386.3355803437,-9054168.64161394
5,0.000484375,-0.23571981489658356,0.00013066883548162878,0.0021986624451159073,0.0020276469313523404,0.0,1.847266235403071e-23,0.0001306688354816288,532.949121511263,323801.6702232478,1135211.2596365216,-80903.13285104123,-10001780.834686084
6,0.00058125,-0.19780531525611877,0.00012641014473047107,0.002293648405258215,0.002008609258153025,0.0,4.8715066799409424e-24,0.0001264101447304711,496.83610505230445,312470.7246642782,1136088.622212436,-66737.50576036768,-8343821.207934853
7,0.0006781249999999999,-0.16188034415245056,0.00012363024870865047,0.002389256858139642,0.001992995502595185,0.0,1.2975561158116954e-23,0.0001236302487086505,958.2920088177866,304630.5602852456,1136706.2835241382,-56455.427885401295,-7397866.40038121
8,0.0007749999999999999,-0.14027278125286102,0.00012138365855207667,0.002485180341681601,0.001979451096732413,0.0,-4.17355589919521e-24,0.00012138365855207667,839.4677629826879,298263.2497331741,1137932.8040762614,-34596.5869163136,-7543936.931546071
9,0.0008718749999999998,-0.12700262665748596,0.00011942569835809991,0.0025812751105130927,0.0019671807655134875,0.0,-1.868799174111394e-23,0.00011942569835809992,792.1015094197196,292469.23373548355,1138378.096728883,-21619.189442037274,-7695538.754601412
10,0.0009687499999999998,-0.11824540793895721,0.00011748000542866066,0.002677473647268867,0.0019557524169430294,0.0,-1.0127787368138358e-23,0.00011748000542866067,861.683467342797,287726.8197264387,1138534.636212457,-14424.295821026759,-7774331.972106354
11,0.0010656249999999997,-0.11189816147089005,0.00011566058674361557,0.002773742784288092,0.0019449348903045748,0.0,-4.89977352277236e-24,0.00011566058674361558,628.3456552920327,282312.9171498456,1138593.4760015248,-10488.68576730568,-7824483.765403926
12,0.0011624999999999997,-0.1072787344455719,0.00011394627654226497,0.0028700608647576607,0.0019345621857557284,0.0,4.036089355650538e-24,0.000113946276542265,727.2858640384343,277541.33247348614,1138623.6983538393,-7715.890114850268,-7865208.310102001
13,0.0012593749999999996,-0.10354175418615341,0.00011226301285205409,0.0029664170351878976,0.0019245494915619004,0.0,1.6957322750083903e-23,0.0001122630128520541,758.0182854445334,272927.8201088322,1138635.3640552477,-6312.503625366893,-7871191.503575233
14,0.0013562499999999996,-0.09999258816242218,0.00011065267608501017,0.0030628081353791248,0.0019148788437591518,0.0,1.112707636786972e-24,0.00011065267608501018,766.471398284893,268852.82901238964,1138637.163497302,-6074.462575153655,-7881390.845033765
15,0.0014531249999999996,-0.09687632322311401,0.00010912703874055296,0.0031592289037904904,0.0019055086226325306,0.0,5.917718765196191e-24,0.00010912703874055298,814.6320614347921,263988.56544613745,1138641.9741384706,-5346.797838843362,-7860269.15492614
16,0.0015499999999999995,-0.09376005828380585,0.00010763492900878191,0.0032556784040703368,0.0018964389191771847,0.0,3.691103459617257e-24,0.00010763492900878192,842.5270613161147,259446.49352217503,1138642.2974183408,-5321.227723920563,-7864168.289862562
17,0.0016468749999999995,-0.09093880653381348,0.00010626440052874386,0.0033521531083901997,0.0018876413597772703,0.0,2.0121371406537733e-24,0.00010626440052874389,725.2994803954816,255122.44175907818,1138646.0034066613,-4691.489906314207,-7874270.302723157
18,0.0017437499999999994,-0.08799798786640167,0.00010487655526958406,0.0034486532675233697,0.0018791275526222485,0.0,-1.32734237792827e-23,0.00010487655526958407,875.2873425228661,250565.9654127805,1138644.5167131186,-4919.34995447625,-7863219.049500322
19,0.0018406249999999994,-0.08505716919898987,0.00010359091538703069,0.0035451780468970786,0.0018708975713429988,0.0,-1.2946037571895374e-23,0.00010359091538703072,878.4694031449803,246789.9369140179,1138644.460910952,-4955.697606149205,-7851184.021598654
20,0.0019374999999999993,-0.0822359174489975,0.00010230123734800145,0.0036417256609466977,0.0018629399431583083,0.0,-1.2613663729761741e-23,0.00010230123734800146,880.715601427579,243001.52471318457,1138645.0115399396,-4864.020939410582,-7822777.418612529
21,0.0020343749999999993,-0.0792950987815857,0.00010109000868396834,0.0037382962594125105,0.0018552662780004616,0.0,8.345895764712984e-24,0.00010109000868396835,940.8191731172035,240188.18330740774,1138644.9793230225,-4865.425431271188,-7793347.028333811
22,0.0021312499999999995,-0.07635428011417389,9.991066326620057e-05,0.003834889007112561,0.0018478766422344473,0.0,8.29657085589074e-24,9.991066326620059e-05,934.1524275641405,236647.85301061056,1138644.8357285205,-4872.770322638371,-7773557.349159262
23,0.0022281249999999996,-0.07353302836418152,9.876651893137023e-05,0.003931502218394922,0.0018407595479741508,0.0,8.277050863156184e-24,9.876651893137024e-05,934.912049970291,233194.83850917444,1138646.147601668,-4649.679244975984,-7755288.089505903
24,0.002325,-0.07071177661418915,9.764827700564638e-05,0.004028135124270973,0.0018339150518677718,0.0,7.648453238833163e-24,9.764827700564639e-05,943.3730809125905,229525.27263407718,1138646.370530918,-4613.422937647632,-7743038.009588308
25,0.002421875,-0.06818779557943344,9.656661859480664e-05,0.004124784997708201,0.0018273144769255499,0.0,7.89574888892095e-24,9.656661859480665e-05,816.2851720779819,226451.7825762623,1138648.3043080282,-4233.808229043365,-7724786.6899981415
26,0.00251875,-0.0655442476272583,9.553341078571975e-05,0.004221451982350306,0.001820969423324282,0.0,8.072062506297995e-24,9.553341078571975e-05,950.3955389665291,223480.11378169456,1138647.7252413644,-4357.096514372365,-7700552.44091054
27,0.0026156250000000003,-0.0630202665925026,9.450642392039299e-05,0.004318134673862967,0.0018148683753103957,0.0,8.045282306461385e-24,9.450642392039299e-05,949.6269815602366,220296.27400979982,1138648.386647657,-4211.260241392162,-7684401.98780978
28,0.0027125000000000005,-0.06057298555970192,9.354088251711801e-05,0.004414832006814716,0.0018090039550476072,0.0,8.020382494590824e-24,9.354088251711802e-05,948.8089472570491,217261.60923914117,1138649.524873048,-3985.1989367509627,-7678263.922862998
29,0.0028093750000000007,-0.058481909334659576,9.25900531001389e-05,0.004511541391298022,0.001803341748952798,0.0,7.2671210511053e-24,9.259005310013892e-05,929.6765140285588,214336.39126690532,1138651.459725714,-3553.692682528189,-7648127.656768275
30,0.002906250000000001,-0.05622243881225586,9.167666576104239e-05,0.004608263322497595,0.0017978980691289049,0.0,7.268803670915335e-24,9.16766657610424e-05,928.506826918237,211418.43857666524,1138650.0951669249,-3860.0021129871,-7632812.902271199
31,0.003003125000000001,-0.054131362587213516,9.080793097382411e-05,0.004704996425375259,0.0017926566539899005,0.0,7.25228576686365e-24,9.080793097382413e-05,927.6452272699053,208604.61216353133,1138651.910490175,-3440.07010868215,-7614823.772212951
32,0.003100000000000001,-0.05214748904109001,8.989821799332276e-05,0.004801739736192142,0.0017876071552833047,0.0,7.239786773167937e-24,8.989821799332277e-05,926.7336125380264,205695.74965866897,1138652.5647490486,-3298.730270615418,-7598187.62406397
33,0.0031968750000000014,-0.050351426005363464,8.905035065254197e-05,0.004898491960182829,0.0017827314217122435,0.0,1.4033267236379873e-23,8.905035065254198e-05,773.5132919517633,202281.04143003197,1138653.172572663,-3109.079264480039,-7594171.463580061
34,0.0032937500000000015,-0.04843579977750778,8.821753726806492e-05,0.004995253346728832,0.0017780410380717582,0.0,1.0749605294047719e-23,8.821753726806494e-05,761.3519929657646,199416.70226989113,1138653.1433718842,-3137.2104023273537,-7586569.71661369
35,0.0033906250000000017,-0.046639736741781235,8.738293399801478e-05,0.005092023001426535,0.0017735244514527147,0.0,1.0674400726216697e-23,8.73829339980148e-05,761.8023120470414,196696.86577080635,1138653.8000214314,-2924.526926762021,-7572805.890875383
36,0.003487500000000002,-0.04503291845321655,8.661703031975776e-05,0.0051887997885320305,0.0017691633618483152,0.0,1.0600074019474339e-23,8.661703031975779e-05,761.9097497828343,194119.94508755638,1138654.3267182535,-2771.7428874591747,-7565141.224252417
37,0.003584375000000002,-0.04342610016465187,8.583917951909825e-05,0.005285583458180772,0.001764957780518302,0.0,2.6830395679841e-23,8.583917951909827e-05,848.1214643150433,191099.83753667932,1138654.3797478483,-2779.1042406402976,-7550368.820695623
38,0.0036812500000000022,-0.04181928187608719,8.50751021062024e-05,0.005382373760490442,0.0017609077183209161,0.0,2.653242289444707e-23,8.507510210620241e-05,846.562265428289,188537.75452570413,1138655.0225002428,-2581.0285202147948,-7541990.394617829
39,0.0037781250000000024,-0.04021246358752251,8.429840090684593e-05,0.005479170445561599,0.001757013185712869,0.0,2.6226216082255793e-23,8.429840090684594e-05,844.6279257161837,185946.50115904355,1138654.7110095965,-2693.533696907519,-7525541.626947622
40,0.0038750000000000026,-0.0387740395963192,8.362696098629385e-05,0.005575972632480732,0.0017532578917599001,0.0,2.6327550900907365e-23,8.362696098629387e-05,831.2462165149761,183618.54416397677,1138655.6264668773,-2391.0197472253803,-7511615.046176174
