t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.72265625e-05,-0.2994860112667084,8.554206578992307e-05,0.0028554467019223186,0.0007115378003155601,0.0,-2.801066241680318e-26,8.554206578992306e-05,-570.5492969405389,365499.5748899921,995262.7677209551,329564.34202079487,-12072555.109441837
2,0.000194453125,0.06309469044208527,8.884226554073393e-05,0.0029524798020612547,0.0007176682108233173,0.0,-1.1983177949382905e-25,8.88422655407339e-05,-1331.1250230300125,368006.82257156505,1081023.026455661,-209070.18205227068,-13044276.659905644
